,Symbol
0,ZL Q5:ZLZ5
1,ZL U5:ZLF6
2,ZS K5:ZSX5
3,ZS Q5:ZSH6
4,ZS X4:ZSN5
5,ZS U5:ZSK6
6,ZS X4:ZSX5
7,ZS K5:ZSX5
8,ZS N5:ZSX5
9,ZC U5:ZCZ5
10,ZC N5:ZCZ5
11,ZC Z4:ZCK5
12,ZC U5:ZCN6
13,ZC Z4:ZCZ5
14,ZM Q5:ZMH6
15,ZM N5:ZMZ5
16,ZM Z4:ZMN5
17,ZW K5:ZWZ5
18,ZW U5:ZWK6
19,ZW Z4:ZWN5
20,ZW H5:ZWN5
21,ZW K5:ZWN5
22,CL X4:CLJ5
23,CL V5:CLJ6
24,CL Z4:CLM5
25,CL H5:CLU5
26,HO H5:HON5
27,HO Z4:HOK5
28,HO X4:HOJ5
29,NG N5:NGZ5
30,NG M5:NGU5
31,NG M5:NGZ5
32,NG N5:NGZ5
33,NG U5:NGF6
34,NG X4:NGG5
35,NG U5:NGZ5
36,NG V5:NGX5
37,NG X4:NGZ4
38,NG F5:NGH5
39,NG J5:NGK5
40,NG G5:NGM5
41,NG J5:NGK5
42,XRB Q5:XRBZ5
43,XRB X4:XRBG5
44,XRB Z4:XRBG5
45,XRB V5:XRBG6
46,XRB F5:XRBK5
47,XRB G5:XRBM5
48,HG K5:HGZ5
